kepid datalocation fits srad kepmag syntheticbool activity syntheticid syndetectbool userxmin userxmax userxmid userduration thresholddown thresholdup maxcount
9833329 http://www.planethunters.org/subjects/9833329_8-synth-1416.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2011073133259_llc.fits 0.435 14.393 True 0.000699699 1416 True 744.538115586 744.987646332 744.7628809 0.449530746 0.48 0.5 0.954298973674
10963429 http://www.planethunters.org/subjects/10963429_14-synth-1421.json /raw/kepler/lightcurves/0109/010963429/kplr010963429-2012277125453_llc.fits 0.36 15.179 True 0.001520693 1421 False 1278.55337306 1278.67597723 1278.614675 0.122604169 0.48 0.5 0.521215072431
8042251 http://www.planethunters.org/subjects/8042251_0-synth-1423.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2009131105131_llc.fits 0.593 11.264 True 0.00202411 1423 True 121.866919349 122.275609047 122.0712641 0.408689698 0.48 0.5 0.825724479086
9333505 http://www.planethunters.org/subjects/9333505_0-synth-1424.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009131105131_llc.fits 0.29 12.889 True 0.002231568 1424 True 126.138202479 126.34254602 126.2403742 0.204343540 0.48 0.5 0.585966311862
9833329 http://www.planethunters.org/subjects/9833329_8-synth-1436.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2011073133259_llc.fits 0.435 14.393 True 0.000699699 1436 True 753.978288882 754.448255843 754.2132723 0.469966961 0.48 0.5 0.90110376832
8042251 http://www.planethunters.org/subjects/8042251_8-synth-1443.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2011073133259_llc.fits 0.593 11.264 True 0.00202411 1443 True 740.696482596 741.146010092 740.9212463 0.449527495 0.48 0.5 0.97454919515
8042251 http://www.planethunters.org/subjects/8042251_8-synth-1443.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2011073133259_llc.fits 0.593 11.264 True 0.00202411 1443 True 753.426339104 753.855437439 753.6408882 0.429098335 0.48 0.5 0.938902226209
8042251 http://www.planethunters.org/subjects/8042251_8-synth-1443.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2011073133259_llc.fits 0.593 11.264 True 0.00202411 1443 True 766.095000198 766.544536205 766.3197682 0.449536007 0.48 0.5 0.886336819866
9333505 http://www.planethunters.org/subjects/9333505_11-synth-1444.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2012004120508_llc.fits 0.29 12.889 True 0.002231568 1444 True 1061.11734059 1061.54642991 1061.331885 0.429089316 0.48 0.5 0.797750087679
9333505 http://www.planethunters.org/subjects/9333505_11-synth-1444.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2012004120508_llc.fits 0.29 12.889 True 0.002231568 1444 True 1074.27607408 1074.72559767 1074.500835 0.449523595 0.48 0.5 0.960704551467
9333505 http://www.planethunters.org/subjects/9333505_11-synth-1444.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2012004120508_llc.fits 0.29 12.889 True 0.002231568 1444 True 1087.37358803 1087.80268095 1087.588134 0.429092919 0.48 0.5 0.952677928399
12268054 http://www.planethunters.org/subjects/12268054_16-synth-1448.json /raw/kepler/lightcurves/0122/012268054/kplr012268054-2013098041711_llc.fits 0.609 13.212 True 0.003874598 1448 True 1506.11888629 1506.22105305 1506.169969 0.102166754 0.48 0.5 0.526174763911
11714250 http://www.planethunters.org/subjects/11714250_13-synth-1450.json /raw/kepler/lightcurves/0117/011714250/kplr011714250-2012179063303_llc.fits 0.556 13.646 True 0.006120298 1450 True 1234.78283848 1235.21195856 1234.997398 0.429120072 0.48 0.5 0.816238081707
6470362 http://www.planethunters.org/subjects/6470362_13-synth-1455.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0.27 15.297 True 0.000586369 1455 False 1231.51314624 1231.96270655 1231.737926 0.449560312 0.48 0.5 0.86890361447
5265188 http://www.planethunters.org/subjects/5265188_15-synth-1460.json /raw/kepler/lightcurves/0052/005265188/kplr005265188-2013011073258_llc.fits 0.565 14.786 True 0.001329611 1460 True 1457.73224053 1458.05916634 1457.895703 0.326925813 0.48 0.5 0.589033961642
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 479.352157698 479.781281461 479.5667195 0.429123763 0.48 0.5 0.775612539526
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 482.621672621 483.050796515 482.8362345 0.429123894 0.48 0.5 0.921845209215
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 485.932058078 486.361182151 486.1466201 0.429124072 0.48 0.5 0.872911847532
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 489.242444632 489.630699957 489.4365722 0.388255324 0.48 0.5 0.860310222212
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 492.532397467 492.961521832 492.7469596 0.429124364 0.48 0.5 0.880714678812
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 495.842785236 496.292344105 496.0675646 0.449558868 0.48 0.5 0.957045933218
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 499.091869372 499.5414282 499.3166487 0.449558828 0.48 0.5 0.864195066656
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 502.422691182 502.831380947 502.6270360 0.408689765 0.48 0.5 0.830715365156
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 505.692208557 506.100898185 505.8965533 0.408689628 0.48 0.5 0.76215208734
9333505 http://www.planethunters.org/subjects/9333505_1-synth-1464.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009166043257_llc.fits 0.29 12.889 True 0.002231568 1464 True 132.534150811 132.963271766 132.7487112 0.429120955 0.48 0.5 0.758185836659
9333505 http://www.planethunters.org/subjects/9333505_1-synth-1464.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009166043257_llc.fits 0.29 12.889 True 0.002231568 1464 True 143.609542942 144.038662597 143.8241027 0.429119655 0.48 0.5 0.874355941656
9333505 http://www.planethunters.org/subjects/9333505_1-synth-1464.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009166043257_llc.fits 0.29 12.889 True 0.002231568 1464 True 154.644029794 155.093582106 154.8688059 0.449552312 0.48 0.5 0.867880334694
12268054 http://www.planethunters.org/subjects/12268054_10-synth-1468.json /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011271113734_llc.fits 0.609 13.212 True 0.003874598 1468 True 914.508003601 914.875818444 914.6919110 0.367814842 0.48 0.5 0.769431347857
6470362 http://www.planethunters.org/subjects/6470362_5-synth-1475.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2010174085026_llc.fits 0.27 15.297 True 0.000586369 1475 True 491.755767963 492.225763042 491.9907655 0.469995079 0.48 0.5 0.917886494281
9833329 http://www.planethunters.org/subjects/9833329_13-synth-1476.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2012179063303_llc.fits 0.435 14.393 True 0.000699699 1476 True 1214.28728786 1214.59380283 1214.440545 0.306514963 0.48 0.5 0.737176991939
9833329 http://www.planethunters.org/subjects/9833329_13-synth-1476.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2012179063303_llc.fits 0.435 14.393 True 0.000699699 1476 True 1223.97317203 1224.40229371 1224.187732 0.429121679 0.48 0.5 0.887523219773
9833329 http://www.planethunters.org/subjects/9833329_13-synth-1476.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2012179063303_llc.fits 0.435 14.393 True 0.000699699 1476 True 1233.78167437 1234.19036218 1233.986018 0.408687810 0.48 0.5 0.837846239572
